diagnosis	diagnosis_category	source
Abdominal fibromatosis	Fibromatous neoplasms	ICD-O-3.2
Acinar cell carcinoma	Acinar cell neoplasms	ICD-O-3.2
Acute erythroid leukemia	Myeloid leukemias	ICD-O-3.2
Acute leukemia, NOS	Leukemias, NOS	ICD-O-3.2
Acute lymphoblastic leukemia, NOS	Leukemias	ICD-O-3.2
Acute megakaryoblastic leukemia	Myeloid leukemias	ICD-O-3.2
Acute monocytic leukemia	Myeloid leukemias	ICD-O-3.2
Acute myeloid leukemia (megakaryoblastic) with t(1;22)(p13;q13); RBM15-MKL1	Myeloid leukemias	ICD-O-3.2
Acute myeloid leukemia with abnormal marrow eosinophils	Myeloid leukemias	ICD-O-3.2
Acute myeloid leukemia with biallelic mutation of CEBPA	Myeloid leukemias	ICD-O-3.2
Acute myeloid leukemia with mutated NPM1	Myeloid leukemias	ICD-O-3.2
Acute myeloid leukemia with myelodysplasia-related changes	Myeloid leukemias	ICD-O-3.2
Acute myeloid leukemia without maturation	Myeloid leukemias	ICD-O-3.2
Acute myeloid leukemia, 11q23 abnormalities	Myeloid leukemias	ICD-O-3.2
Acute myeloid leukemia, minimal differentiation	Myeloid leukemias	ICD-O-3.2
Acute myeloid leukemia, NOS	Myeloid leukemias	ICD-O-3.2
Acute myeloid leukemia, t(8;21)(q22;q22)	Myeloid leukemias	ICD-O-3.2
Acute myelomonocytic leukemia, NOS	Myeloid leukemias	ICD-O-3.2
Acute promyelocytic leukemia, t(15;17)(q22;q11-12)	Myeloid leukemias	ICD-O-3.2
Adamantinoma of long bones	Miscellaneous bone tumors	ICD-O-3.2
Adamantinomatous craniopharyngioma	Craniopharyngioma	WHO CNS5
Adenocarcinoma in adenomatous polyposis coli	Adenomas and adenocarcinomas	ICD-O-3.2
Adenocarcinoma in situ in adenomatous polyp	Adenomas and adenocarcinomas	ICD-O-3.2
Adenocarcinoma in situ in tubulovillous adenoma	Adenomas and adenocarcinomas	ICD-O-3.2
Adenocarcinoma with mixed subtypes	Adenomas and adenocarcinomas	ICD-O-3.2
Adenocarcinoma with neuroendocrine differentiation	Complex epithelial neoplasms	ICD-O-3.2
Adenocarcinoma, intestinal type	Adenomas and adenocarcinomas	ICD-O-3.2
Adenocarcinoma, metastatic, NOS	Adenomas and adenocarcinomas	ICD-O-3.2
Adenocarcinoma, NOS	Adenomas and adenocarcinomas	ICD-O-3.2
Adenoid cystic carcinoma	Adenomas and adenocarcinomas	ICD-O-3.2
Adenoma, NOS	Adenomas and adenocarcinomas	ICD-O-3.2
Adenosarcoma	Complex mixed and stromal neoplasms	ICD-O-3.2
Adrenal cortical adenoma, NOS	Adenomas and adenocarcinomas	ICD-O-3.2
Adrenal cortical carcinoma	Adenomas and adenocarcinomas	ICD-O-3.2
Aggressive fibromatosis	Fibromatous neoplasms	ICD-O-3.2
Alveolar rhabdomyosarcoma	Myomatous neoplasms	ICD-O-3.2
Alveolar soft part sarcoma	Granular cell tumors and alveolar soft part sarcomas	ICD-O-3.2
Ameloblastoma, NOS	Odontogenic tumors	ICD-O-3.2
Anaplastic large cell lymphoma, ALK positive	Hodgkin and non-Hodgkin lymphomas	ICD-O-3.2
Anaplastic large cell lymphoma, T-cell and Null-cell type	Hodgkin and non-Hodgkin lymphomas	ICD-O-3.2
Angiocentric glioma	Low-Grade Glioma;Gliomas	WHO CNS5;ICD-O-3.2
Angiocentric immunoproliferative lesion	Immunoproliferative diseases	ICD-O-3.2
Angioimmunoblastic T-cell lymphoma	Mature T- and NK-cell lymphomas	ICD-O-3.2
Angiomatoid fibrous histiocytoma	Fibromatous neoplasms	ICD-O-3.2
Angiomyofibroblastoma	Fibromatous neoplasms	ICD-O-3.2
Angiomyosarcoma	Myomatous neoplasms	ICD-O-3.2
Astroblastoma	Gliomas	ICD-O-3.2
Astroblastoma, MN1-altered	High-Grade Glioma;Low-Grade Glioma	WHO CNS5
Astrocytoma, anaplastic	Gliomas	ICD-O-3.2
Astrocytoma, anaplastic, NOS	Gliomas	ICD-O-3.2
Astrocytoma, benign	Gliomas	ICD-O-3.2
Astrocytoma, IDH-mutant	High-Grade Glioma;Low-Grade Glioma	WHO CNS5
Astrocytoma, NOS	Gliomas	ICD-O-3.2
ATRT-MYC	Atypical teratoid/rhabdoid tumor	WHO CNS5
ATRT-SHH	Atypical teratoid/rhabdoid tumor	WHO CNS5
ATRT-TYR	Atypical teratoid/rhabdoid tumor	WHO CNS5
ATRT, NOS or NEC	Atypical teratoid/rhabdoid tumor	WHO CNS5
Atypical choroid plexus papilloma	Choroid Plexus tumors;Gliomas	WHO CNS5;ICD-O-3.2
